id_lectura,id_sensor,id_lote,temperatura,humedad,timestamp,_tipo_proceso,_es_anomalia,_tipo_anomalia
1,1,1,26.79,65.0,2026-06-01 06:00:00,lavado,False,
2,1,1,25.72,63.93,2026-06-01 06:10:00,lavado,False,
3,1,1,26.11,64.64,2026-06-01 06:20:00,lavado,False,
4,1,1,25.92,65.0,2026-06-01 06:30:00,lavado,False,
5,1,1,,62.88,2026-06-01 06:40:00,lavado,False,
6,1,1,26.55,65.0,2026-06-01 06:50:00,lavado,False,
7,1,1,28.21,65.0,2026-06-01 07:00:00,lavado,False,
8,1,1,30.03,65.0,2026-06-01 07:10:00,lavado,False,
9,1,1,27.08,82.67,2026-06-01 07:20:00,lavado,True,humedad_ambiental_alta
10,1,1,27.38,65.0,2026-06-01 07:30:00,lavado,False,
11,1,1,27.7,65.0,2026-06-01 07:40:00,lavado,False,
12,1,1,29.2,65.0,2026-06-01 07:50:00,lavado,False,
13,1,1,28.37,65.0,2026-06-01 08:00:00,lavado,False,
14,1,1,27.31,65.0,2026-06-01 08:10:00,lavado,False,
15,1,1,28.75,65.0,2026-06-01 08:20:00,lavado,False,
16,1,1,29.04,65.0,2026-06-01 08:30:00,lavado,False,
17,1,1,,65.0,2026-06-01 08:40:00,lavado,False,
18,1,1,28.43,65.0,2026-06-01 08:50:00,lavado,False,
19,1,1,31.03,65.0,2026-06-01 09:00:00,lavado,False,
20,1,1,30.12,65.0,2026-06-01 09:10:00,lavado,False,
21,1,1,30.31,65.0,2026-06-01 09:20:00,lavado,False,
22,1,1,29.55,65.0,2026-06-01 09:30:00,lavado,False,
23,1,1,29.25,65.0,2026-06-01 09:40:00,lavado,False,
24,1,1,29.51,65.0,2026-06-01 09:50:00,lavado,False,
25,1,1,28.94,65.0,2026-06-01 10:00:00,lavado,False,
26,1,1,31.31,65.0,2026-06-01 10:10:00,lavado,False,
27,1,1,30.03,65.0,2026-06-01 10:20:00,lavado,False,
28,1,1,31.24,65.0,2026-06-01 10:30:00,lavado,False,
29,1,1,29.93,65.0,2026-06-01 10:40:00,lavado,False,
30,1,1,30.66,,2026-06-01 10:50:00,lavado,False,
31,1,1,30.51,65.0,2026-06-01 11:00:00,lavado,False,
32,1,1,29.31,65.0,2026-06-01 11:10:00,lavado,False,
33,1,1,31.82,65.0,2026-06-01 11:20:00,lavado,False,
34,1,1,30.16,65.0,2026-06-01 11:30:00,lavado,False,
35,1,1,29.6,65.0,2026-06-01 11:40:00,lavado,False,
36,1,1,31.01,89.44,2026-06-01 11:50:00,lavado,True,humedad_critica
37,1,1,30.77,65.0,2026-06-01 12:00:00,lavado,False,
38,1,1,30.57,65.0,2026-06-01 12:10:00,lavado,False,
39,1,1,28.84,65.0,2026-06-01 12:20:00,lavado,False,
40,1,1,,65.0,2026-06-01 12:30:00,lavado,False,
41,1,1,29.74,65.0,2026-06-01 12:40:00,lavado,False,
42,1,1,31.14,65.0,2026-06-01 12:50:00,lavado,False,
43,1,1,45.32,65.0,2026-06-01 13:00:00,lavado,True,fluctuacion_termica
44,1,1,30.75,65.0,2026-06-01 13:10:00,lavado,False,
45,1,1,30.14,65.0,2026-06-01 13:20:00,lavado,False,
46,1,1,30.02,65.0,2026-06-01 13:30:00,lavado,False,
47,1,1,30.27,81.4,2026-06-01 13:40:00,lavado,True,humedad_ambiental_alta
48,1,1,30.23,65.0,2026-06-01 13:50:00,lavado,False,
49,1,1,31.47,65.0,2026-06-01 14:00:00,lavado,False,
50,1,1,29.64,65.0,2026-06-01 14:10:00,lavado,False,
51,1,1,29.3,65.0,2026-06-01 14:20:00,lavado,False,
52,1,1,30.64,,2026-06-01 14:30:00,lavado,False,
53,1,1,29.04,63.99,2026-06-01 14:40:00,lavado,False,
54,1,1,29.32,65.0,2026-06-01 14:50:00,lavado,False,
55,1,1,28.9,65.0,2026-06-01 15:00:00,lavado,False,
56,1,1,29.13,64.29,2026-06-01 15:10:00,lavado,False,
57,1,1,27.9,65.0,2026-06-01 15:20:00,lavado,False,
58,1,1,27.91,65.0,2026-06-01 15:30:00,lavado,False,
59,1,1,30.26,65.0,2026-06-01 15:40:00,lavado,False,
