id_lote,nombre_lote,estado_lote,tipo_proceso,timestamp,horas_transcurridas,horas_restantes,temperatura_grano,temperatura_ambiental,humedad_grano_raw,presion_hpa,altitud_m,lluvia_analog,lluvia_detectada,lluvia,luz,delta_temp,_es_anomalia,_severidad,_tipo_anomalia,lluvia_sostenida
10,Sin vincular - kajve-CA689C,cancelado,lavado,2026-07-19 00:24:07.819265,,,29.44,30.13,,951.647,525.997,,,0.0,1.67,-0.6899999999999977,False,normal,normal,False
10,Sin vincular - kajve-CA689C,cancelado,lavado,2026-07-19 00:24:08.674401,,,29.38,30.13,,951.667,525.818,,,0.0,2.5,-0.75,False,normal,normal,False
10,Sin vincular - kajve-CA689C,cancelado,lavado,2026-07-19 00:24:09.367289,,,29.38,30.15,,951.678,525.724,,,0.0,1.67,-0.7699999999999996,False,normal,normal,False
10,Sin vincular - kajve-CA689C,cancelado,lavado,2026-07-19 00:24:19.999741,,,29.31,30.17,,951.662,525.865,,,0.0,2.5,-0.860000000000003,False,normal,normal,False
10,Sin vincular - kajve-CA689C,cancelado,lavado,2026-07-19 00:24:20.509233,,,29.31,30.17,,951.662,525.865,,,0.0,2.5,-0.860000000000003,False,normal,normal,False
10,Sin vincular - kajve-CA689C,cancelado,lavado,2026-07-19 00:24:49.834041,,,29.31,30.15,,951.693,525.596,,,0.0,1.67,-0.8399999999999999,False,normal,normal,False
10,Sin vincular - kajve-CA689C,cancelado,lavado,2026-07-19 00:24:50.257880,,,29.31,30.15,,951.693,525.596,,,0.0,1.67,-0.8399999999999999,False,normal,normal,False
10,Sin vincular - kajve-CA689C,cancelado,lavado,2026-07-19 00:25:20.136708,,,29.31,30.12,,951.706,525.481,,,0.0,2602.5,-0.8100000000000023,False,normal,normal,False
10,Sin vincular - kajve-CA689C,cancelado,lavado,2026-07-19 00:25:20.320766,,,29.31,30.12,,951.706,525.481,,,0.0,2602.5,-0.8100000000000023,False,normal,normal,False
10,Sin vincular - kajve-CA689C,cancelado,lavado,2026-07-19 00:25:49.832719,,,29.31,30.07,,951.671,525.789,,,0.0,1.67,-0.7600000000000016,False,normal,normal,False
10,Sin vincular - kajve-CA689C,cancelado,lavado,2026-07-19 00:25:50.252037,,,29.31,30.07,,951.671,525.789,,,0.0,1.67,-0.7600000000000016,False,normal,normal,False
10,Sin vincular - kajve-CA689C,cancelado,lavado,2026-07-19 00:26:19.830273,,,29.31,30.05,,951.737,525.203,,,0.0,2.5,-0.740000000000002,False,normal,normal,False
10,Sin vincular - kajve-CA689C,cancelado,lavado,2026-07-19 00:26:20.252281,,,29.31,30.05,,951.737,525.203,,,0.0,2.5,-0.740000000000002,False,normal,normal,False
10,Sin vincular - kajve-CA689C,cancelado,lavado,2026-07-19 00:26:49.897716,,,29.31,30.02,,951.751,525.088,,,0.0,3.33,-0.7100000000000009,False,normal,normal,False
10,Sin vincular - kajve-CA689C,cancelado,lavado,2026-07-19 00:26:50.261363,,,29.31,30.02,,951.751,525.088,,,0.0,3.33,-0.7100000000000009,False,normal,normal,False
10,Sin vincular - kajve-CA689C,cancelado,lavado,2026-07-19 00:27:19.834666,,,29.31,30.0,,951.759,525.014,,,0.0,3.33,-0.6900000000000013,False,normal,normal,False
10,Sin vincular - kajve-CA689C,cancelado,lavado,2026-07-19 00:27:20.257332,,,29.31,30.0,,951.759,525.014,,,0.0,3.33,-0.6900000000000013,False,normal,normal,False
10,Sin vincular - kajve-CA689C,cancelado,lavado,2026-07-19 00:27:49.831973,,,29.25,30.0,,951.758,525.026,,,0.0,3.33,-0.75,False,normal,normal,False
10,Sin vincular - kajve-CA689C,cancelado,lavado,2026-07-19 00:27:50.251991,,,29.25,30.0,,951.758,525.026,,,0.0,3.33,-0.75,False,normal,normal,False
10,Sin vincular - kajve-CA689C,cancelado,lavado,2026-07-19 00:28:19.825674,,,29.25,29.98,,951.792,524.729,,,0.0,3.33,-0.7300000000000004,False,normal,normal,False
10,Sin vincular - kajve-CA689C,cancelado,lavado,2026-07-19 00:28:20.249178,,,29.25,29.98,,951.792,524.729,,,0.0,3.33,-0.7300000000000004,False,normal,normal,False
10,Sin vincular - kajve-CA689C,cancelado,lavado,2026-07-19 00:28:49.841234,,,29.19,29.97,,951.783,524.804,,,0.0,3.33,-0.7799999999999976,False,normal,normal,False
10,Sin vincular - kajve-CA689C,cancelado,lavado,2026-07-19 00:28:50.315728,,,29.19,29.97,,951.783,524.804,,,0.0,3.33,-0.7799999999999976,False,normal,normal,False
10,Sin vincular - kajve-CA689C,cancelado,lavado,2026-07-19 03:29:27.199146,,,29.25,29.98,,951.782,524.812,,,0.0,3.33,-0.7300000000000004,False,normal,normal,False
10,Sin vincular - kajve-CA689C,cancelado,lavado,2026-07-19 03:29:27.959078,,,29.25,29.98,,951.813,524.538,,,0.0,3.33,-0.7300000000000004,False,normal,normal,False
10,Sin vincular - kajve-CA689C,cancelado,lavado,2026-07-19 03:29:28.513535,,,29.19,30.0,,951.813,524.539,,,0.0,3.33,-0.8099999999999987,False,normal,normal,False
